"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"1.213.088,29";
"10/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"220.630,41";
"01/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"2.789.700,73";
"12/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"1.047.232,11";
"04/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"17.170.276,59";
"07/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"1.627.214,80";
"11/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"1.217.791,91";
"08/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"11.517,99";
"02/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"17.762.723,56";
"05/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"50.790,17";
"03/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"7.828.880,57";
"09/2016";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"53.401,86";
"10/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"100.000,00";"7.143.212,48";"7.531.300,58";"0,00";
"12/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"28.571.812,00";"12.757.255,23";"16.389.257,77";"0,00";
"02/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"56.000.000,00";"0,00";"0,00";"0,00";
"01/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"20.000.001,00";"0,00";"0,00";"210.000,00";
"09/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"47.186.938,38";"15.007.752,69";"17.543.646,51";"0,00";
"06/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"- 1,00";"14.029.924,04";"20.262.993,19";"0,00";
"05/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"400.000,00";"18.503.742,59";"6.321.171,51";"0,00";
"03/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"280.000,00";"468.304,96";"0,00";"0,00";
"04/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"28.300.821,01";"21.751.842,53";"0,00";
"11/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"10.105.000,00";"17.150.972,82";"11.800.971,58";"0,00";
"07/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"19.500.000,00";"15.506.713,70";"27.647.186,97";"0,00";
"08/2016";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"3.630.275,88";"1.532.606,06";"0,00";
