"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"03/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"6.639,40";
"04/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"1.057,26";
"02/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"19.246,22";
"01/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"4.629,88";
"05/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"879,76";
"06/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"12.000.000,00";"5.296.213,42";"7.312.319,23";"98.480,35";
"07/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"9.872.133,81";"9.872.133,81";"199.522,89";
"03/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"7.300.002,00";"190.137,61";"0,00";"5.320.408,99";
"11/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"16.055.741,82";"16.320.342,31";"15.670.283,11";"0,00";
"08/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"1.200.000,00";"5.679.065,16";"4.298.272,13";"3.258,50";
"04/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"7.373.424,32";"6.583.457,66";"2.478.895,72";
"05/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"11.675.950,15";"10.639.948,61";"1.575.309,02";
"12/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"62.654.881,97";"11.694.076,94";"27.213.530,65";"0,00";
"02/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"30.000.000,00";"0,00";"0,00";"4.333.391,39";
"10/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"13.850.000,00";"10.824.560,51";"4.286.868,53";"0,00";
"01/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"11.552.285,45";
"09/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"9.499.999,00";"12.982.862,88";"3.774.844,29";"0,00";
"04/2015";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"250.000,00";"0,00";"0,00";"0,00";
"12/2015";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"330.000,00";"90.000,00";"90.000,00";"0,00";
"09/2015";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"200.000,00";"0,00";"0,00";"0,00";
"02/2015";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"250.000,00";"250.000,00";"250.000,00";"0,00";
"06/2015";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"200.000,00";"155.500,00";"0,00";
"05/2015";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"459.000,00";"0,00";"0,00";"0,00";
"07/2015";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"50.000,00";"559.000,00";"559.000,00";"0,00";
"11/2015";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"220.000,00";"200.000,00";"200.000,00";"0,00";
"08/2015";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"44.500,00";"14.000,00";
